gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season,game_id
21900478,2019-12-28,regular,1610612745,HOU,HOU,BKN,48,0.37037037037037046,44,101,0.3995215311004785,13,42,0.30457516339869284,7,16,43.8,0.5517241379310345,0.5,54,0.19047619047619047,14.0,0.3181818181818182,0.30000000000000004,15,10.0,1,2020,2019-12-28_HOU_BKN
21900478,2019-12-28,regular,1610612751,BKN,HOU,BKN,48,0.2777777777777778,37,92,0.31818181818181823,11,39,0.2679738562091504,13,21,61.9,0.3103448275862069,0.5,47,0.38095238095238093,15.0,0.3181818181818182,0.25,15,-10.0,0,2020,2019-12-28_HOU_BKN
21900485,2019-12-28,regular,1610612746,LAC,LAC,UTA,48,0.36111111111111116,35,95,0.23684210526315785,12,40,0.2915032679738562,25,27,92.6,0.5517241379310345,0.31818181818181823,46,0.33333333333333326,8.0,0.4090909090909091,0.2,18,-13.0,0,2020,2019-12-28_LAC_UTA
21900485,2019-12-28,regular,1610612762,UTA,LAC,UTA,48,0.4814814814814816,45,86,0.6076555023923444,17,35,0.5346405228758171,13,17,76.5,0.20689655172413793,0.5681818181818182,47,0.40476190476190477,13.0,0.18181818181818182,0.1,20,13.0,1,2020,2019-12-28_LAC_UTA
21900475,2019-12-28,regular,1610612748,MIA,MIA,PHI,53,0.4537037037037037,42,94,0.4258373205741628,10,28,0.36601307189542487,23,29,79.3,0.27586206896551724,0.4318181818181819,43,0.4285714285714286,8.0,0.2727272727272727,0.2,21,1.0,1,2020,2019-12-28_MIA_PHI
21900475,2019-12-28,regular,1610612755,PHI,MIA,PHI,53,0.4444444444444444,42,89,0.4856459330143541,10,30,0.3346405228758169,22,29,75.9,0.27586206896551724,0.5227272727272727,47,0.38095238095238093,11.0,0.2272727272727273,0.2,24,-1.0,0,2020,2019-12-28_MIA_PHI
21900480,2019-12-28,regular,1610612749,MIL,MIL,ORL,48,0.39814814814814814,43,84,0.5813397129186604,13,37,0.35816993464052294,12,18,66.7,0.48275862068965514,0.6363636363636364,58,0.5238095238095237,25.0,0.2727272727272727,0.25,13,11.0,1,2020,2019-12-28_MIL_ORL
21900480,2019-12-28,regular,1610612753,ORL,MIL,ORL,48,0.2962962962962963,35,87,0.31818181818181823,14,35,0.4222222222222223,16,19,84.2,0.1724137931034483,0.2954545454545454,34,0.30952380952380953,11.0,0.7272727272727273,0.35000000000000003,17,-11.0,0,2020,2019-12-28_MIL_ORL
21900479,2019-12-28,regular,1610612750,MIN,MIN,CLE,48,0.18518518518518523,33,93,0.20574162679425834,8,37,0.1816993464052288,14,19,73.7,0.48275862068965514,0.2272727272727273,40,0.2142857142857143,18.0,0.7727272727272727,0.4,29,-6.0,0,2020,2019-12-28_MIN_CLE
21900479,2019-12-28,regular,1610612739,CLE,MIN,CLE,48,0.2407407407407408,32,77,0.35167464114832536,4,20,0.1607843137254902,26,36,72.2,0.48275862068965514,0.6818181818181818,60,0.11904761904761907,29.0,0.4090909090909091,0.2,21,6.0,1,2020,2019-12-28_MIN_CLE
21900474,2019-12-28,regular,1610612740,NOP,NOP,IND,48,0.4814814814814816,43,93,0.46172248803827753,18,42,0.4601307189542484,16,20,80.0,0.3793103448275862,0.5,49,0.40476190476190477,13.0,0.4090909090909091,0.1,18,22.0,1,2020,2019-12-28_NOP_IND
21900474,2019-12-28,regular,1610612754,IND,NOP,IND,48,0.2777777777777778,33,85,0.284688995215311,6,28,0.17908496732026144,26,29,89.7,0.41379310344827586,0.40909090909090906,46,0.2142857142857143,18.0,0.2727272727272727,0.1,16,-22.0,0,2020,2019-12-28_NOP_IND
21900484,2019-12-28,regular,1610612757,POR,POR,LAL,48,0.4814814814814816,41,86,0.4976076555023923,15,35,0.4601307189542484,23,27,85.2,0.3103448275862069,0.31818181818181823,39,0.23809523809523808,16.0,0.18181818181818182,0.4,22,-8.0,0,2020,2019-12-28_POR_LAL
21900484,2019-12-28,regular,1610612747,LAL,POR,LAL,48,0.5555555555555556,47,91,0.5909090909090908,11,32,0.34901960784313724,23,28,82.1,0.3793103448275862,0.38636363636363635,44,0.5714285714285714,11.0,0.2727272727272727,0.35000000000000003,25,8.0,1,2020,2019-12-28_POR_LAL
21900483,2019-12-28,regular,1610612758,SAC,SAC,PHX,48,0.38888888888888884,41,84,0.5239234449760763,12,31,0.40522875816993476,16,24,66.7,0.24137931034482757,0.2954545454545454,36,0.26190476190476186,12.0,0.13636363636363635,0.2,16,-2.0,0,2020,2019-12-28_SAC_PHX
21900483,2019-12-28,regular,1610612756,PHX,SAC,PHX,48,0.40740740740740744,45,86,0.6076555023923444,9,26,0.35163398692810466,13,15,86.7,0.24137931034482757,0.38636363636363635,40,0.5238095238095237,14.0,0.4545454545454546,0.1,21,2.0,1,2020,2019-12-28_SAC_PHX
21900481,2019-12-28,regular,1610612759,SAS,SAS,DET,48,0.6296296296296295,53,93,0.7200956937799043,18,35,0.5712418300653596,12,15,80.0,0.24137931034482757,0.6363636363636364,51,0.5238095238095237,11.0,0.36363636363636365,0.35000000000000003,20,27.0,1,2020,2019-12-28_SAS_DET
21900481,2019-12-28,regular,1610612765,DET,SAS,DET,48,0.37962962962962976,40,90,0.4186602870813396,12,36,0.3346405228758169,17,30,56.7,0.3448275862068966,0.31818181818181823,40,0.2857142857142857,11.0,0.4090909090909091,0.25,15,-27.0,0,2020,2019-12-28_SAS_DET
21900476,2019-12-28,regular,1610612764,WAS,WAS,NYK,48,0.2962962962962963,33,96,0.17942583732057416,10,25,0.4222222222222223,24,31,77.4,0.48275862068965514,0.4318181818181819,49,0.19047619047619047,12.0,0.6818181818181819,0.15000000000000002,22,-7.0,0,2020,2019-12-28_WAS_NYK
