home_team,away_team,PTS_home,FG%_home,3P%_home,FT%_home,OREB_home,DREB_home,AST_home,STL_home,BLK_home,PTS_away,FG%_away,3P%_away,FT%_away,OREB_away,DREB_away,AST_away,STL_away,BLK_away,winner
ATL,IND,152,60.0,48.4,82.1,12,27,28,8,4,157,60.6,48.9,75.0,7,22,35,7,11,IND
CLE,PHI,122,48.9,36.0,84.0,14,42,33,9,4,119,41.7,31.4,82.4,14,30,19,12,8,CLE
PHX,POR,120,56.6,41.2,96.4,11,27,26,8,8,107,43.7,45.2,85.0,12,18,20,8,3,PHX
LAL,UTA,131,57.0,37.9,81.5,9,43,35,6,5,99,38.8,25.0,75.0,13,29,25,6,3,LAL
CHA,WAS,117,47.3,43.2,71.4,11,38,27,6,4,114,45.4,34.4,83.3,11,36,26,7,3,CHA
DEN,ORL,119,47.3,42.9,76.2,17,25,29,6,2,124,54.3,34.5,86.7,11,30,27,9,7,ORL
ATL,BKN,147,44.0,36.7,93.1,22,36,24,10,8,145,48.7,42.9,83.3,22,37,28,8,6,ATL
BOS,MIL,119,52.4,40.5,82.4,4,39,27,3,5,116,44.6,38.2,76.5,13,34,23,9,2,BOS
CLE,MIA,96,46.8,46.7,71.4,7,27,25,5,6,129,52.3,57.1,81.0,10,31,30,11,7,MIA
IND,TOR,131,54.9,46.2,81.3,5,26,33,10,6,132,53.3,40.7,83.3,13,33,26,7,3,TOR
HOU,MEM,111,43.5,32.6,85.0,6,43,22,6,6,91,32.9,21.9,85.7,9,37,17,3,7,HOU
MIN,PHI,112,48.3,38.5,66.7,10,38,28,10,8,99,39.1,21.9,80.0,16,32,21,9,12,MIN
NOP,SAC,117,47.1,23.3,75.7,13,35,23,10,2,112,44.7,34.1,82.9,4,34,22,3,1,NOP
CHI,OKC,102,38.6,38.6,100.0,11,27,22,7,2,116,49.3,37.9,81.6,11,34,24,4,12,OKC
LAC,SAS,109,45.9,32.1,75.9,11,39,29,10,3,102,38.5,28.9,91.3,10,34,26,8,6,LAC
GSW,PHX,115,47.8,31.3,65.5,11,32,29,10,3,123,44.7,39.3,84.6,11,32,22,9,8,PHX
POR,UTA,121,51.1,43.6,66.7,14,23,31,9,6,105,46.8,32.3,80.8,14,30,25,7,3,POR
DAL,LAL,104,39.6,32.0,75.0,11,37,21,5,4,101,46.4,37.9,63.2,9,42,26,1,2,DAL
BOS,ORL,96,40.8,24.1,73.0,4,27,17,10,4,113,50.6,39.3,72.7,13,35,23,5,3,ORL
MEM,PHX,89,46.3,27.3,60.0,6,29,22,6,2,110,51.3,35.5,75.0,7,34,22,10,6,PHX
MIA,NYK,98,39.1,27.0,95.2,10,31,20,11,0,100,48.1,34.5,66.7,6,40,21,7,2,NYK
CHI,TOR,108,51.2,44.4,63.2,9,28,20,5,2,121,53.0,33.3,74.1,13,27,32,8,6,TOR
